"HolderAddress","Balance","PendingBalanceUpdate"
"0x92abf5199bc4cc22719284aaa64bcd572a9827a7","12818357348261","No"
"0x9c6f7a7ead3efe05497befc54bb6ec5761e2de2a","3.07274932800781E+25","No"
"0x176e40d5287d3418b9af03902dd8a9fc4da91503","2.25006879342195E+26","No"
"0x7418ec4a8925ed40c9e9ad310bc9c477e0b5ea32","6.58381290335905E+24","No"
"0x79440bfb6bc27b33d7110836c956cc48919c0c8d","6.02339130898926E+25","No"
"0x2b3d0c56a85b42784627ce10fcb32ab48df08d88","5.77181316685867E+27","No"
"0xcef258f83750240562698165b74bf83d8207541e","9.42682973218764E+24","No"
"0xe788c4ba05cb52e9d2bd03d40b40a937916916d1","6.3E+26","No"
"0x75099957a2e5f169d8138ca2161ff46df6a5d0fc","2.92989930189424E+25","No"
"0x5c53fc335cd45b6bd0be722c10ed3794a7b5eb35","4.57272690798745E+25","No"
"0xc7795964ec6e7f1c148c58484a39ae2f6163a6f2","2.19194460904416E+25","No"
"0x7d586c8c715c81605738cdf07c6438ff5199e4cd","3.88405497200756E+23","No"
"0xb33ada98e0d3736fc3d6e0b9fedc2f7390b8e535","5.87023523501364E+24","No"
"0x3ff01a4421f53c13fea8dac6ce2341141c03d058","1.46149227757589E+24","No"
"0x910daa1ecd79a8b39b060d2f612610deeb8bfac9","1.00000005421884E+25","No"
"0xfe3b3c58a5f35be12b67fafdcfb1ec0611bdbdc5","1.00004599115705E+26","No"
"0xd1ffef22a98bd3b7a44d0d7144e9ff271292606f","3.89233616911771E+25","No"
"0x8069032950b46a8c51aace80a943a0b4e2e49fb6","1.18908233654539E+27","No"
"0x0832e2d34d2496697c477f54d7c221f9e6be77a7","5.50218461328858E+25","No"
"0x65c8e15013acb46a2b4d7e75c1ce77e3e9a5e222","8.19660700072423E+25","No"
"0x696186508bbde7676c689085445ae5db3f3326ec","1E+25","No"
"0x1b98a8d4b54a92e691311d185c39b52e13cf2b1e","1.38525709055238E+26","No"
"0xf02044d638068f2b71be3e3452c34b37eab67fec","1.18868472197135E+26","No"
"0x6b129f053a9512e8bfbd8eb38eed41e42f2fd5b7","7.47718758804237E+26","No"
"0x68b7ef900f87f0a9b28229a9a77976ac3b25434b","3E+25","No"
"0x2938b8eedcfe1bf7a6d7a472dfdd12937da0137e","3.22251623405796E+23","No"
"0x1b181e3c08e3d65b34a2829c93847a5ca6c40e62","1E+25","No"
"0x5e3f22724a8072da9d6f1bb6a4e6787ece19d203","6.59595636035012E+24","No"
"0xb6d91c7a0408c541530516f58c01b97cbb7f8998","4.29216001E+25","No"
"0x503493bcad21017b7d76db8f9de8de79cd1f94f6","1.97305984874355E+27","No"
"0x91846845ae6e7e89fa05cbd14d79ef8b0f6b8da5","2.53633131722305E+18","No"
"0xf850adce5019aa0f1d31f041a2473e31a5125628","2E+24","No"
"0xcbc96d73c39ddfe3b70af75eef6694d1fd8ba9d1","3E+15","No"
"0xb56ad7de5bde49da9caecfddc64e6404f6d08463","3.65813771735048E+24","No"
"0x4a483083293b3c6dd20197702d818c5f44a856b8","2E+26","No"
"0xe46ebfc2902f7bb283421a04862af378ab8367d9","1E+24","No"
"0xf0abe1c829774737019fc31e5f19a9f39fccc6e2","1.06990852092877E+26","No"
"0xacd70f62b7c98e2ba57a2f6d972cc10bdc21d4c6","8.01815717680527E+24","No"
"0xf82e6fa2225c0896f99079ee13751ba48f3676ce","5.40599049851499E+25","No"
"0xa3fa0630f86e68788e35526a05774cdcaa9765d2","9.44943489304614E+26","No"
"0x88b70cbd42dc99c6c26a3e36dc72bac8eed8ccd7","5.00053420879945E+27","No"
"0x6a177563b660381d2193b7c050fce4d402fa618c","88339203168342","No"
"0x5398d13fd5b234e82c4b478996f5b5073fb16722","1.23250679424574E+26","No"
"0xc6e827ca96fa8c72268f5340ab0640f7ef6c22f8","3.03267886304259E+25","No"
"0xcff2d6bf21e6835a144ef668809adec4b4e9c395","1","No"
"0x934c5b720f8987a5effddde7f96037b3bce242eb","1.36035117853763E+27","No"
"0x4e8a511f117c80b97db153fd0adf77986078e175","5E+25","No"
"0xad6ee7c40d7d80a6c404e82e77cde5c5088e98a5","2.5E+26","No"
"0x8671f6446e3c62872b372a0d3ea9c6d731409fef","1.69260485852386E+25","No"
"0xeb34b0cb3984cac3c148dd46b5a564e985f29ff4","1.04303555823879E+25","No"
"0xa234bc9c3656db7eef6d7d39ac160191dd65323d","3E+25","No"
"0x63e438735943735c913efa13f5a53ab94870c398","2.35741112757776E+25","No"
"0x8610641ebab73685d6b826ce66b9b25733e919d0","8.20550684158703E+24","No"
"0xaebf47460c7076466bcd1d1a09aa1533435c1bfe","7.59817810732168E+21","No"
"0xdd031f286f33f84c40dc508739638d4e7c1f2e62","8.59466683192171E+24","No"
"0xe2abb449f192bc55593c26993d354be81b086087","6E+25","No"
"0x000000bda8396361e87648109c90d368002c4f17","1","No"
"0x698b23282e4e3a73ced846d6b7289f55fc70b7b0","2.12475250671366E+27","No"
"0x878617a65ee9e796b8480e8dd53ba84c2e8d4446","5.31764562867433E+23","No"
"0xaebba0fb090e6a742e7c0e651f44c93f42946b08","546381068553264","No"
"0x1a9aa7f2ba58d8d15b31552f41d54260373ab9f7","7.80105616351712E+25","No"
"0xc924b4bd88499a22364d41284e486e960fac8913","5.91253287830953E+24","No"
"0xe22ebbfeb7cd3aaf73517357efaa30f8434b5da2","1.59683579421527E+26","No"
"0xe5bcfc55d043ed079186ba7ba3bd95346e255bd3","1.13455225966087E+27","No"
"0x2dcf01eefd67fa79c00906263ab904cb5e18a148","63335427894436","No"
"0xd6efd4c4d4e3c5782bfba532d89d00e74bbd1ca0","1.83676826102577E+18","No"
"0xce9808c83b9c7d80e16a9d54b5bf00398d7e7a0c","1.55437076643823E+25","No"
"0x622b637c37887a111e315325d13d94f1417650e9","2.66418401322219E+25","No"
